task_id,segment_id,division,department,type,planned_duration_hrs,actual_duration_hrs,planned_date,completion_date,overdue_flag,overdue_days,overrun_flag
TASK-00238,SEG-020,Delhi,Engineering,Drainage Cleaning,7.21,5.96,2025-05-25,2025-05-25,0,0,0
TASK-00239,SEG-020,Delhi,Engineering,Drainage Cleaning,2.9,2.36,2024-09-03,2024-09-03,0,0,0
TASK-00240,SEG-020,Delhi,Engineering,Track Inspection,4.99,4.64,2024-10-19,2024-10-19,0,0,0
TASK-00241,SEG-020,Delhi,Engineering,Track Inspection,3.88,3.77,2025-02-16,2025-02-16,0,0,0
TASK-00242,SEG-020,Delhi,Engineering,Tamping,4.01,3.87,2024-03-16,2024-03-16,0,0,0
TASK-00243,SEG-020,Delhi,Engineering,Track Inspection,7.84,8.14,2024-05-11,2024-05-11,0,0,0
TASK-00244,SEG-021,Agra,S&T,Cable Inspection,5.42,4.4,2024-07-22,2024-08-14,1,23,0
TASK-00245,SEG-021,Agra,S&T,Cable Inspection,4.88,7.82,2025-04-30,2025-04-30,0,0,1
TASK-00246,SEG-021,Agra,S&T,Point Machine Service,4.05,4.26,2024-06-15,2024-06-15,0,0,0
TASK-00247,SEG-021,Agra,S&T,Point Machine Service,3.45,3.14,2025-07-30,2025-07-30,0,0,0
TASK-00248,SEG-021,Agra,S&T,Point Machine Service,3.5,3.72,2025-08-20,2025-08-20,0,0,0
TASK-00249,SEG-021,Agra,S&T,Signal Inspection,7.79,8.05,2024-09-28,2024-09-28,0,0,0
TASK-00250,SEG-021,Agra,S&T,Point Machine Service,4.62,4.7,2025-08-20,2025-08-20,0,0,0
TASK-00251,SEG-021,Agra,S&T,Relay Maintenance,6.84,6.65,2024-05-31,2024-05-31,0,0,0
TASK-00252,SEG-021,Agra,S&T,Point Machine Service,4.37,4.04,2024-01-20,2024-01-20,0,0,0
TASK-00253,SEG-021,Agra,S&T,Point Machine Service,6.09,5.9,2024-03-04,2024-03-04,0,0,0
TASK-00254,SEG-021,Agra,S&T,Cable Inspection,3.95,3.7,2025-06-22,2025-06-22,0,0,0
TASK-00255,SEG-022,Delhi,S&T,Cable Inspection,4.65,4.11,2025-09-16,2025-09-16,0,0,0
TASK-00256,SEG-022,Delhi,S&T,Cable Inspection,6.08,5.76,2024-10-22,2024-10-22,0,0,0
TASK-00257,SEG-022,Delhi,S&T,Cable Inspection,2.29,2.09,2024-10-21,2024-10-21,0,0,0
TASK-00258,SEG-022,Delhi,S&T,Point Machine Service,3.39,3.44,2024-05-29,2024-05-29,0,0,0
TASK-00259,SEG-022,Delhi,S&T,Cable Inspection,3.17,2.73,2025-11-02,2025-11-02,0,0,0
TASK-00260,SEG-022,Delhi,S&T,Relay Maintenance,2.21,1.93,2024-05-20,2024-06-18,1,29,0
TASK-00261,SEG-022,Delhi,S&T,Relay Maintenance,3.01,4.06,2025-10-15,2025-10-15,0,0,1
TASK-00262,SEG-022,Delhi,S&T,Point Machine Service,7.77,6.58,2024-01-06,2024-01-06,0,0,0
TASK-00263,SEG-022,Delhi,S&T,Signal Inspection,5.73,5.08,2025-05-03,2025-05-03,0,0,0
TASK-00264,SEG-022,Delhi,S&T,Signal Inspection,5.74,5.86,2024-04-01,2024-04-01,0,0,0
TASK-00265,SEG-022,Delhi,S&T,Point Machine Service,4.22,4.56,2024-06-28,2024-07-25,1,27,0
TASK-00266,SEG-022,Delhi,S&T,Signal Inspection,2.71,2.88,2025-05-22,2025-05-22,0,0,0
TASK-00267,SEG-023,Agra,Electrical,Mast Inspection,5.19,8.52,2024-11-01,2024-11-01,0,0,1
TASK-00268,SEG-023,Agra,Electrical,Contact Wire Maintenance,7.03,6.03,2024-05-17,2024-05-17,0,0,0
TASK-00269,SEG-023,Agra,Electrical,Isolator Service,5.71,4.59,2025-04-14,2025-04-14,0,0,0
TASK-00270,SEG-023,Agra,Electrical,Mast Inspection,5.88,8.67,2025-08-04,2025-08-04,0,0,1
TASK-00271,SEG-023,Agra,Electrical,Contact Wire Maintenance,4.85,7.28,2025-03-13,2025-03-13,0,0,1
TASK-00272,SEG-023,Agra,Electrical,Isolator Service,3.6,3.16,2025-05-03,2025-05-03,0,0,0
TASK-00273,SEG-023,Agra,Electrical,Contact Wire Maintenance,3.46,2.78,2024-12-03,2024-12-03,0,0,0
TASK-00274,SEG-023,Agra,Electrical,Isolator Service,5.84,4.95,2024-03-04,2024-03-04,0,0,0
TASK-00275,SEG-023,Agra,Electrical,Contact Wire Maintenance,5.65,5.14,2024-04-30,2024-04-30,0,0,0
TASK-00276,SEG-023,Agra,Electrical,Mast Inspection,2.5,2.45,2025-05-04,2025-05-04,0,0,0
TASK-00277,SEG-024,Delhi,Electrical,OHE Inspection,6.87,6.9,2025-11-11,2025-11-11,0,0,0
TASK-00278,SEG-024,Delhi,Electrical,OHE Inspection,4.4,3.62,2025-06-22,2025-06-22,0,0,0
TASK-00279,SEG-024,Delhi,Electrical,Mast Inspection,7.37,7.08,2025-07-14,2025-07-14,0,0,0
TASK-00280,SEG-024,Delhi,Electrical,Mast Inspection,5.92,5.6,2024-04-29,2024-04-29,0,0,0
TASK-00281,SEG-024,Delhi,Electrical,Isolator Service,4.45,4.17,2024-02-26,2024-03-12,1,15,0
TASK-00282,SEG-024,Delhi,Electrical,OHE Inspection,4.07,4.17,2024-01-23,2024-01-23,0,0,0
TASK-00283,SEG-024,Delhi,Electrical,OHE Inspection,3.74,6.16,2025-03-09,2025-03-09,0,0,1
TASK-00284,SEG-024,Delhi,Electrical,Mast Inspection,1.71,1.76,2025-04-28,2025-04-28,0,0,0
TASK-00285,SEG-024,Delhi,Electrical,Mast Inspection,7.95,8.43,2025-01-18,2025-01-18,0,0,0
TASK-00286,SEG-024,Delhi,Electrical,Isolator Service,5.94,5.71,2024-03-23,2024-03-23,0,0,0
TASK-00287,SEG-024,Delhi,Electrical,Contact Wire Maintenance,2.66,2.55,2024-05-01,2024-05-01,0,0,0
TASK-00288,SEG-024,Delhi,Electrical,Mast Inspection,6.42,6.03,2024-01-04,2024-01-04,0,0,0
TASK-00289,SEG-024,Delhi,Electrical,Contact Wire Maintenance,3.97,3.72,2025-06-28,2025-06-28,0,0,0
TASK-00290,SEG-024,Delhi,Electrical,OHE Inspection,1.71,1.68,2024-04-25,2024-04-25,0,0,0
TASK-00291,SEG-025,Agra,Engineering,Tamping,1.94,1.81,2024-07-30,2024-07-30,0,0,0
TASK-00292,SEG-025,Agra,Engineering,Tamping,6.31,5.49,2024-09-07,2024-09-07,0,0,0
TASK-00293,SEG-025,Agra,Engineering,Track Inspection,4.78,4.99,2024-05-23,2024-05-23,0,0,0
TASK-00294,SEG-025,Agra,Engineering,Rail Grinding,5.39,4.83,2025-08-14,2025-08-14,0,0,0
TASK-00295,SEG-025,Agra,Engineering,Rail Grinding,4.89,4.32,2025-11-07,2025-11-07,0,0,0
TASK-00296,SEG-025,Agra,Engineering,Drainage Cleaning,5.91,4.81,2025-10-03,2025-10-03,0,0,0
TASK-00297,SEG-025,Agra,Engineering,Drainage Cleaning,3.57,3.02,2025-06-21,2025-06-21,0,0,0
TASK-00298,SEG-025,Agra,Engineering,Tamping,7.02,7.11,2024-09-03,2024-09-03,0,0,0
TASK-00299,SEG-025,Agra,Engineering,Track Inspection,4.18,4.01,2025-07-29,2025-07-29,0,0,0
TASK-00300,SEG-025,Agra,Engineering,Rail Grinding,3.65,5.12,2024-07-27,2024-07-27,0,0,1
TASK-00301,SEG-025,Agra,Engineering,Rail Grinding,3.25,3.19,2024-02-22,2024-02-22,0,0,0
TASK-00302,SEG-026,Delhi,Engineering,Tamping,5.13,5.44,2025-11-18,2025-11-18,0,0,0
TASK-00303,SEG-026,Delhi,Engineering,Drainage Cleaning,7.59,6.34,2024-08-04,2024-08-04,0,0,0
TASK-00304,SEG-026,Delhi,Engineering,Track Inspection,6.02,5.53,2024-09-05,2024-09-05,0,0,0
TASK-00305,SEG-026,Delhi,Engineering,Drainage Cleaning,3.97,3.6,2024-10-16,2024-10-16,0,0,0
TASK-00306,SEG-026,Delhi,Engineering,Rail Grinding,2.14,2.01,2025-04-22,2025-04-22,0,0,0
TASK-00307,SEG-026,Delhi,Engineering,Tamping,3.53,5.61,2025-01-14,2025-01-14,0,0,1
TASK-00308,SEG-026,Delhi,Engineering,Rail Grinding,5.1,5.18,2024-09-24,2024-09-24,0,0,0
TASK-00309,SEG-026,Delhi,Engineering,Track Inspection,3.0,2.62,2024-12-03,2024-12-03,0,0,0
TASK-00310,SEG-026,Delhi,Engineering,Drainage Cleaning,6.46,6.57,2024-09-20,2024-09-20,0,0,0
TASK-00311,SEG-026,Delhi,Engineering,Rail Grinding,6.26,5.27,2024-06-21,2024-06-21,0,0,0
TASK-00312,SEG-026,Delhi,Engineering,Tamping,7.94,7.6,2025-07-09,2025-07-09,0,0,0
TASK-00313,SEG-026,Delhi,Engineering,Tamping,1.82,2.3,2025-11-15,2025-11-15,0,0,1
TASK-00314,SEG-026,Delhi,Engineering,Drainage Cleaning,1.56,1.42,2024-06-03,2024-06-03,0,0,0
TASK-00315,SEG-026,Delhi,Engineering,Track Inspection,4.67,6.76,2025-11-06,2025-11-23,1,17,1
TASK-00316,SEG-027,Agra,S&T,Relay Maintenance,1.61,1.61,2024-10-20,2024-10-20,0,0,0
TASK-00317,SEG-027,Agra,S&T,Cable Inspection,7.47,6.52,2024-04-19,2024-04-19,0,0,0
TASK-00318,SEG-027,Agra,S&T,Relay Maintenance,3.24,2.95,2024-12-28,2024-12-28,0,0,0
TASK-00319,SEG-027,Agra,S&T,Signal Inspection,3.45,2.84,2024-08-19,2024-08-19,0,0,0
TASK-00320,SEG-027,Agra,S&T,Relay Maintenance,4.13,3.89,2024-04-05,2024-04-05,0,0,0
TASK-00321,SEG-027,Agra,S&T,Signal Inspection,4.75,4.92,2024-03-25,2024-03-25,0,0,0
TASK-00322,SEG-027,Agra,S&T,Point Machine Service,7.47,8.0,2025-06-24,2025-06-24,0,0,0
TASK-00323,SEG-027,Agra,S&T,Signal Inspection,1.8,2.91,2024-10-04,2024-10-04,0,0,1
TASK-00324,SEG-027,Agra,S&T,Point Machine Service,7.54,8.21,2024-07-02,2024-07-02,0,0,0
TASK-00325,SEG-027,Agra,S&T,Cable Inspection,3.45,3.35,2024-03-19,2024-03-19,0,0,0
TASK-00326,SEG-027,Agra,S&T,Cable Inspection,6.41,10.54,2025-01-28,2025-01-28,0,0,1
TASK-00327,SEG-027,Agra,S&T,Point Machine Service,2.13,1.75,2024-02-24,2024-02-24,0,0,0
TASK-00328,SEG-027,Agra,S&T,Cable Inspection,1.69,1.86,2024-11-30,2024-11-30,0,0,0
TASK-00329,SEG-027,Agra,S&T,Signal Inspection,7.62,7.65,2025-07-20,2025-07-20,0,0,0
TASK-00330,SEG-028,Delhi,S&T,Relay Maintenance,6.69,5.52,2024-10-29,2024-11-21,1,23,0
TASK-00331,SEG-028,Delhi,S&T,Cable Inspection,3.56,4.28,2025-02-02,2025-02-02,0,0,1
TASK-00332,SEG-028,Delhi,S&T,Point Machine Service,2.16,3.01,2024-10-03,2024-10-03,0,0,1
TASK-00333,SEG-028,Delhi,S&T,Cable Inspection,1.67,1.38,2024-04-15,2024-04-15,0,0,0
TASK-00334,SEG-028,Delhi,S&T,Relay Maintenance,1.58,1.63,2025-01-29,2025-01-29,0,0,0
TASK-00335,SEG-028,Delhi,S&T,Cable Inspection,4.89,4.16,2025-08-08,2025-08-08,0,0,0
TASK-00336,SEG-028,Delhi,S&T,Signal Inspection,2.45,3.24,2025-05-19,2025-05-19,0,0,1
TASK-00337,SEG-028,Delhi,S&T,Relay Maintenance,3.14,3.1,2025-01-04,2025-01-04,0,0,0
TASK-00338,SEG-028,Delhi,S&T,Point Machine Service,2.2,2.39,2025-04-13,2025-04-13,0,0,0
TASK-00339,SEG-028,Delhi,S&T,Relay Maintenance,4.36,4.57,2024-12-03,2024-12-03,0,0,0
TASK-00340,SEG-028,Delhi,S&T,Point Machine Service,3.58,3.08,2024-11-03,2024-11-03,0,0,0
TASK-00341,SEG-028,Delhi,S&T,Relay Maintenance,3.39,3.21,2024-11-22,2024-11-22,0,0,0
TASK-00342,SEG-028,Delhi,S&T,Relay Maintenance,3.94,3.62,2024-11-29,2024-12-18,1,19,0
TASK-00343,SEG-028,Delhi,S&T,Point Machine Service,7.98,12.33,2025-08-29,2025-09-22,1,24,1
TASK-00344,SEG-029,Agra,Electrical,Mast Inspection,6.68,5.48,2025-03-24,2025-03-24,0,0,0
TASK-00345,SEG-029,Agra,Electrical,Mast Inspection,4.75,4.14,2025-11-20,2025-11-20,0,0,0
TASK-00346,SEG-029,Agra,Electrical,Mast Inspection,1.98,1.87,2025-01-21,2025-01-21,0,0,0
TASK-00347,SEG-029,Agra,Electrical,OHE Inspection,1.74,1.76,2025-07-10,2025-07-10,0,0,0
TASK-00348,SEG-029,Agra,Electrical,OHE Inspection,6.5,5.89,2024-04-21,2024-04-21,0,0,0
TASK-00349,SEG-029,Agra,Electrical,Mast Inspection,7.89,7.26,2025-07-30,2025-07-30,0,0,0
TASK-00350,SEG-029,Agra,Electrical,Contact Wire Maintenance,1.57,1.5,2024-04-18,2024-04-18,0,0,0
TASK-00351,SEG-029,Agra,Electrical,Contact Wire Maintenance,3.93,3.95,2025-04-01,2025-04-01,0,0,0
TASK-00352,SEG-029,Agra,Electrical,OHE Inspection,7.99,7.1,2024-12-19,2024-12-19,0,0,0
TASK-00353,SEG-029,Agra,Electrical,Contact Wire Maintenance,6.9,6.24,2024-04-28,2024-04-28,0,0,0
TASK-00354,SEG-029,Agra,Electrical,Isolator Service,4.64,4.32,2025-06-17,2025-06-17,0,0,0
TASK-00355,SEG-030,Delhi,Electrical,OHE Inspection,1.79,1.44,2024-11-03,2024-11-03,0,0,0
TASK-00356,SEG-030,Delhi,Electrical,Contact Wire Maintenance,6.7,6.85,2025-11-24,2025-11-24,0,0,0
TASK-00357,SEG-030,Delhi,Electrical,Contact Wire Maintenance,5.14,4.47,2024-12-04,2024-12-04,0,0,0
TASK-00358,SEG-030,Delhi,Electrical,Contact Wire Maintenance,5.66,4.58,2024-07-09,2024-07-09,0,0,0
TASK-00359,SEG-030,Delhi,Electrical,OHE Inspection,5.35,5.41,2025-04-05,2025-04-05,0,0,0
TASK-00360,SEG-030,Delhi,Electrical,Mast Inspection,2.16,1.85,2025-08-14,2025-08-14,0,0,0
TASK-00361,SEG-030,Delhi,Electrical,Mast Inspection,3.21,3.08,2024-04-26,2024-04-26,0,0,0
TASK-00362,SEG-030,Delhi,Electrical,Contact Wire Maintenance,4.05,5.5,2025-09-17,2025-09-17,0,0,1
TASK-00363,SEG-030,Delhi,Electrical,Contact Wire Maintenance,6.09,5.99,2025-11-20,2025-11-20,0,0,0
TASK-00364,SEG-030,Delhi,Electrical,Mast Inspection,2.27,1.94,2024-11-16,2024-11-16,0,0,0
TASK-00365,SEG-031,Agra,Engineering,Rail Grinding,2.4,2.05,2025-09-02,2025-09-02,0,0,0
TASK-00366,SEG-031,Agra,Engineering,Tamping,2.58,2.21,2025-07-22,2025-07-22,0,0,0
TASK-00367,SEG-031,Agra,Engineering,Drainage Cleaning,7.69,6.6,2025-01-02,2025-01-02,0,0,0
TASK-00368,SEG-031,Agra,Engineering,Tamping,5.95,6.26,2025-02-22,2025-02-22,0,0,0
TASK-00369,SEG-031,Agra,Engineering,Track Inspection,1.7,1.51,2025-08-01,2025-08-01,0,0,0
TASK-00370,SEG-031,Agra,Engineering,Tamping,6.57,6.78,2024-06-21,2024-06-21,0,0,0
TASK-00371,SEG-031,Agra,Engineering,Tamping,2.24,2.35,2025-08-09,2025-08-09,0,0,0
TASK-00372,SEG-031,Agra,Engineering,Rail Grinding,5.05,4.2,2025-03-27,2025-03-27,0,0,0
TASK-00373,SEG-031,Agra,Engineering,Tamping,7.19,9.48,2024-10-31,2024-10-31,0,0,1
TASK-00374,SEG-031,Agra,Engineering,Track Inspection,7.12,11.15,2025-03-25,2025-03-25,0,0,1
TASK-00375,SEG-031,Agra,Engineering,Rail Grinding,5.61,7.08,2025-09-16,2025-09-16,0,0,1
TASK-00376,SEG-031,Agra,Engineering,Track Inspection,5.21,5.1,2024-03-01,2024-03-24,1,23,0
TASK-00377,SEG-031,Agra,Engineering,Tamping,5.22,4.98,2024-10-23,2024-10-23,0,0,0
TASK-00378,SEG-032,Delhi,Engineering,Rail Grinding,7.47,7.92,2025-02-25,2025-03-25,1,28,0
TASK-00379,SEG-032,Delhi,Engineering,Drainage Cleaning,2.45,2.14,2024-09-12,2024-09-12,0,0,0
TASK-00380,SEG-032,Delhi,Engineering,Tamping,2.42,2.39,2025-05-16,2025-05-16,0,0,0
TASK-00381,SEG-032,Delhi,Engineering,Track Inspection,6.66,6.13,2025-10-10,2025-10-10,0,0,0
TASK-00382,SEG-032,Delhi,Engineering,Tamping,7.68,6.15,2025-04-10,2025-04-10,0,0,0
TASK-00383,SEG-032,Delhi,Engineering,Drainage Cleaning,5.63,5.94,2025-04-14,2025-04-14,0,0,0
TASK-00384,SEG-032,Delhi,Engineering,Track Inspection,7.79,7.39,2024-08-11,2024-08-11,0,0,0
TASK-00385,SEG-032,Delhi,Engineering,Tamping,5.06,8.01,2024-12-11,2024-12-11,0,0,1
TASK-00386,SEG-032,Delhi,Engineering,Rail Grinding,2.15,2.02,2024-02-17,2024-03-16,1,28,0
TASK-00387,SEG-032,Delhi,Engineering,Rail Grinding,4.47,4.15,2025-03-27,2025-03-27,0,0,0
TASK-00388,SEG-032,Delhi,Engineering,Track Inspection,3.46,3.68,2025-10-27,2025-11-08,1,12,0
TASK-00389,SEG-033,Agra,S&T,Relay Maintenance,5.82,4.75,2025-01-15,2025-01-15,0,0,0
TASK-00390,SEG-033,Agra,S&T,Relay Maintenance,5.76,4.61,2025-03-15,2025-03-15,0,0,0
TASK-00391,SEG-033,Agra,S&T,Signal Inspection,2.97,2.38,2025-08-30,2025-08-30,0,0,0
TASK-00392,SEG-033,Agra,S&T,Signal Inspection,6.01,5.22,2025-03-08,2025-03-08,0,0,0
TASK-00393,SEG-033,Agra,S&T,Relay Maintenance,3.54,2.98,2024-04-15,2024-04-15,0,0,0
TASK-00394,SEG-033,Agra,S&T,Relay Maintenance,7.95,11.44,2025-10-18,2025-11-08,1,21,1
TASK-00395,SEG-033,Agra,S&T,Point Machine Service,3.78,3.87,2025-03-26,2025-03-26,0,0,0
TASK-00396,SEG-033,Agra,S&T,Point Machine Service,2.06,3.17,2024-08-10,2024-08-10,0,0,1
TASK-00397,SEG-033,Agra,S&T,Signal Inspection,7.76,6.53,2024-12-25,2024-12-25,0,0,0
TASK-00398,SEG-033,Agra,S&T,Signal Inspection,5.1,5.01,2024-09-11,2024-09-11,0,0,0
TASK-00399,SEG-034,Delhi,S&T,Signal Inspection,4.87,4.99,2024-07-29,2024-07-29,0,0,0
TASK-00400,SEG-034,Delhi,S&T,Signal Inspection,4.72,6.73,2024-09-02,2024-09-02,0,0,1
TASK-00401,SEG-034,Delhi,S&T,Cable Inspection,7.57,12.02,2025-01-04,2025-01-04,0,0,1
TASK-00402,SEG-034,Delhi,S&T,Signal Inspection,5.94,6.45,2025-07-13,2025-07-13,0,0,0
TASK-00403,SEG-034,Delhi,S&T,Point Machine Service,1.94,1.58,2025-08-24,2025-09-19,1,26,0
TASK-00404,SEG-034,Delhi,S&T,Point Machine Service,3.36,3.46,2025-06-02,2025-06-02,0,0,0
TASK-00405,SEG-034,Delhi,S&T,Relay Maintenance,5.66,4.79,2024-03-25,2024-03-28,1,3,0
TASK-00406,SEG-034,Delhi,S&T,Signal Inspection,4.99,4.94,2024-06-08,2024-06-08,0,0,0
TASK-00407,SEG-034,Delhi,S&T,Point Machine Service,6.04,6.37,2024-11-13,2024-11-16,1,3,0
TASK-00408,SEG-034,Delhi,S&T,Relay Maintenance,4.45,3.97,2024-04-28,2024-04-28,0,0,0
TASK-00409,SEG-034,Delhi,S&T,Cable Inspection,1.58,1.9,2024-05-02,2024-05-02,0,0,1
TASK-00410,SEG-034,Delhi,S&T,Cable Inspection,4.86,4.27,2025-06-19,2025-06-19,0,0,0
TASK-00411,SEG-035,Agra,Electrical,OHE Inspection,3.68,3.52,2024-01-31,2024-01-31,0,0,0
TASK-00412,SEG-035,Agra,Electrical,Isolator Service,4.46,4.24,2025-05-23,2025-05-23,0,0,0
TASK-00413,SEG-035,Agra,Electrical,Contact Wire Maintenance,3.16,4.61,2024-06-10,2024-06-10,0,0,1
TASK-00414,SEG-035,Agra,Electrical,Mast Inspection,1.52,1.22,2025-06-05,2025-06-17,1,12,0
TASK-00415,SEG-035,Agra,Electrical,Mast Inspection,2.66,2.16,2024-06-02,2024-06-02,0,0,0
TASK-00416,SEG-035,Agra,Electrical,OHE Inspection,3.59,3.65,2024-08-17,2024-08-17,0,0,0
TASK-00417,SEG-035,Agra,Electrical,OHE Inspection,3.92,4.2,2025-08-08,2025-09-03,1,26,0
TASK-00418,SEG-035,Agra,Electrical,Isolator Service,1.95,1.73,2025-02-14,2025-02-14,0,0,0
TASK-00419,SEG-035,Agra,Electrical,Isolator Service,5.1,6.58,2024-03-29,2024-03-29,0,0,1
TASK-00420,SEG-035,Agra,Electrical,Contact Wire Maintenance,3.08,3.36,2025-09-29,2025-09-29,0,0,0
TASK-00421,SEG-036,Delhi,Electrical,OHE Inspection,2.48,2.0,2024-09-08,2024-09-08,0,0,0
TASK-00422,SEG-036,Delhi,Electrical,OHE Inspection,1.51,1.59,2024-12-09,2024-12-09,0,0,0
TASK-00423,SEG-036,Delhi,Electrical,Isolator Service,4.94,4.68,2024-07-29,2024-08-03,1,5,0
TASK-00424,SEG-036,Delhi,Electrical,Isolator Service,1.79,1.89,2024-04-05,2024-04-05,0,0,0
TASK-00425,SEG-036,Delhi,Electrical,Mast Inspection,7.83,9.73,2025-04-14,2025-04-14,0,0,1
TASK-00426,SEG-036,Delhi,Electrical,Isolator Service,5.35,8.01,2024-03-17,2024-03-17,0,0,1
TASK-00427,SEG-036,Delhi,Electrical,Isolator Service,7.03,6.45,2024-09-24,2024-09-24,0,0,0
TASK-00428,SEG-036,Delhi,Electrical,OHE Inspection,4.44,4.81,2024-11-21,2024-11-21,0,0,0
TASK-00429,SEG-036,Delhi,Electrical,Isolator Service,2.19,1.96,2024-06-08,2024-06-08,0,0,0
TASK-00430,SEG-036,Delhi,Electrical,Isolator Service,4.44,4.69,2024-07-31,2024-07-31,0,0,0
TASK-00431,SEG-036,Delhi,Electrical,Contact Wire Maintenance,1.76,1.58,2025-09-09,2025-09-09,0,0,0
TASK-00432,SEG-036,Delhi,Electrical,Contact Wire Maintenance,4.08,5.44,2024-12-30,2024-12-30,0,0,1
TASK-00433,SEG-036,Delhi,Electrical,OHE Inspection,7.69,7.43,2024-02-01,2024-02-01,0,0,0
TASK-00434,SEG-036,Delhi,Electrical,Contact Wire Maintenance,2.16,1.81,2025-04-18,2025-05-13,1,25,0
TASK-00435,SEG-037,Agra,Engineering,Track Inspection,6.85,6.78,2024-07-21,2024-07-21,0,0,0
TASK-00436,SEG-037,Agra,Engineering,Rail Grinding,1.64,2.63,2024-03-17,2024-03-17,0,0,1
TASK-00437,SEG-037,Agra,Engineering,Tamping,7.38,6.64,2024-04-04,2024-04-19,1,15,0
TASK-00438,SEG-037,Agra,Engineering,Drainage Cleaning,7.51,7.64,2024-06-21,2024-06-21,0,0,0
TASK-00439,SEG-037,Agra,Engineering,Drainage Cleaning,4.27,4.58,2025-11-30,2025-11-30,0,0,0
TASK-00440,SEG-037,Agra,Engineering,Drainage Cleaning,1.73,1.51,2024-06-01,2024-06-01,0,0,0
TASK-00441,SEG-037,Agra,Engineering,Rail Grinding,4.61,6.33,2025-07-17,2025-07-17,0,0,1
TASK-00442,SEG-037,Agra,Engineering,Track Inspection,7.96,6.41,2025-10-07,2025-10-07,0,0,0
TASK-00443,SEG-037,Agra,Engineering,Drainage Cleaning,5.04,5.41,2025-05-06,2025-05-06,0,0,0
TASK-00444,SEG-037,Agra,Engineering,Track Inspection,2.67,2.31,2024-10-03,2024-10-03,0,0,0
TASK-00445,SEG-037,Agra,Engineering,Rail Grinding,6.76,6.13,2024-02-29,2024-02-29,0,0,0
TASK-00446,SEG-038,Delhi,Engineering,Tamping,3.11,2.99,2024-04-12,2024-04-12,0,0,0
TASK-00447,SEG-038,Delhi,Engineering,Rail Grinding,5.24,4.8,2024-08-12,2024-08-12,0,0,0
TASK-00448,SEG-038,Delhi,Engineering,Tamping,3.04,3.11,2024-06-29,2024-06-29,0,0,0
TASK-00449,SEG-038,Delhi,Engineering,Drainage Cleaning,7.66,7.42,2024-12-26,2024-12-26,0,0,0
TASK-00450,SEG-038,Delhi,Engineering,Rail Grinding,3.51,2.9,2025-07-09,2025-07-09,0,0,0
TASK-00451,SEG-038,Delhi,Engineering,Rail Grinding,4.92,7.94,2024-01-21,2024-01-21,0,0,1
TASK-00452,SEG-038,Delhi,Engineering,Tamping,6.16,6.49,2024-12-14,2024-12-14,0,0,0
TASK-00453,SEG-038,Delhi,Engineering,Track Inspection,5.31,5.48,2024-05-31,2024-05-31,0,0,0
TASK-00454,SEG-038,Delhi,Engineering,Track Inspection,3.93,3.61,2024-03-15,2024-03-25,1,10,0
TASK-00455,SEG-038,Delhi,Engineering,Drainage Cleaning,7.84,7.3,2024-05-19,2024-05-19,0,0,0
TASK-00456,SEG-038,Delhi,Engineering,Track Inspection,3.56,3.45,2025-10-26,2025-10-26,0,0,0
TASK-00457,SEG-039,Agra,S&T,Relay Maintenance,5.33,7.13,2025-11-12,2025-11-12,0,0,1
TASK-00458,SEG-039,Agra,S&T,Signal Inspection,6.24,6.77,2024-06-30,2024-06-30,0,0,0
TASK-00459,SEG-039,Agra,S&T,Signal Inspection,5.42,5.91,2024-07-05,2024-07-05,0,0,0
TASK-00460,SEG-039,Agra,S&T,Relay Maintenance,2.41,2.1,2025-05-23,2025-05-23,0,0,0
TASK-00461,SEG-039,Agra,S&T,Cable Inspection,7.25,11.01,2025-10-13,2025-10-13,0,0,1
TASK-00462,SEG-039,Agra,S&T,Signal Inspection,1.57,1.58,2025-04-02,2025-04-02,0,0,0
TASK-00463,SEG-039,Agra,S&T,Point Machine Service,1.81,1.68,2024-01-02,2024-01-16,1,14,0
TASK-00464,SEG-039,Agra,S&T,Relay Maintenance,3.78,3.96,2025-01-22,2025-01-22,0,0,0
TASK-00465,SEG-039,Agra,S&T,Signal Inspection,4.43,3.59,2024-06-15,2024-06-24,1,9,0
TASK-00466,SEG-039,Agra,S&T,Signal Inspection,3.72,3.16,2024-03-16,2024-04-14,1,29,0
TASK-00467,SEG-039,Agra,S&T,Relay Maintenance,5.36,5.06,2024-12-12,2025-01-02,1,21,0
TASK-00468,SEG-040,Delhi,S&T,Cable Inspection,2.52,3.26,2025-03-20,2025-03-20,0,0,1
TASK-00469,SEG-040,Delhi,S&T,Point Machine Service,3.33,2.71,2025-11-07,2025-11-07,0,0,0
TASK-00470,SEG-040,Delhi,S&T,Point Machine Service,1.85,2.29,2024-06-06,2024-06-06,0,0,1
TASK-00471,SEG-040,Delhi,S&T,Point Machine Service,2.13,2.11,2024-07-23,2024-07-23,0,0,0
TASK-00472,SEG-040,Delhi,S&T,Signal Inspection,3.5,3.31,2024-04-28,2024-04-28,0,0,0
TASK-00473,SEG-040,Delhi,S&T,Point Machine Service,5.04,8.06,2025-10-19,2025-10-19,0,0,1
TASK-00474,SEG-040,Delhi,S&T,Signal Inspection,3.21,2.79,2024-02-15,2024-02-15,0,0,0
TASK-00475,SEG-040,Delhi,S&T,Point Machine Service,6.39,5.28,2024-06-03,2024-06-03,0,0,0
TASK-00476,SEG-040,Delhi,S&T,Point Machine Service,2.98,4.1,2025-08-26,2025-08-26,0,0,1
